name,emoji,category,price,unit,image_url,group_key,in_stock,featured,sort_order,id
Kollu,,Groceries,130,per kg,,Kollu,true,false,148,148
Arara paruppu,,Groceries,140,per kg,,Arara paruppu,true,false,149,149
Ulutham paruppu,,Groceries,110,per kg,,Ulutham paruppu,true,false,150,150
Pattu kadalai,,Groceries,90,per kg,,Pattu kadalai,true,false,151,151
Vadai paruppu,,Groceries,380,per kg,,Vadai paruppu,true,false,152,152
Puli,,Groceries,180,per kg,,Puli,true,false,153,153
Kadagu,,Groceries,,per pack,,Kadagu,true,false,154,154
Jeeragam,,Groceries,380,per pack,,Jeeragam,true,false,155,155
Sombu,,Groceries,,per pack,,Sombu,true,false,156,156
Venthaigam,,Groceries,,per pack,,Venthaigam,true,false,157,157
Pattai,,Groceries,,per pack,,Pattai,true,false,158,158
Krambu,,Groceries,,per pack,,Krambu,true,false,159,159
Elachi,,Groceries,,per pack,,Elachi,true,false,160,160
Biriyani Selavu,,Groceries,,per pack,,Biriyani Selavu,true,false,161,161
Gundu vellam,,Groceries,,,,Gundu vellam,true,false,162,162
Country sugar,,Groceries,,,,Country sugar,true,false,163,163
Cashew,,Groceries,,per pack,,Cashew,true,false,164,164
Dry grapes,,Groceries,,per pack,,Dry grapes,true,false,165,165
Red chilli,,Groceries,,,,Red chilli,true,false,166,166
Avul,,Groceries,,,,Avul,true,false,167,167
Tata Salt ,,Groceries,,per pack,,Tata Salt ,true,false,168,168
Tata Salt ,,Groceries,,per pack,,Tata Salt ,true,false,169,169
Salt,,Groceries,,per pack,,Salt,true,false,170,170
Rock Salt ,,Groceries,,per pack,,Rock Salt ,true,false,171,171
Rock Salt,,Groceries,,per pack,,Rock Salt,true,false,172,172
Tata rock salt,,Groceries,,per pack,,Tata rock salt,true,false,173,173
Green peas,,Groceries,,per pack,,Green peas,true,false,174,174
Fried peanut,,Groceries,,,,Fried peanut,true,false,175,175
Nonfried peanut,,Groceries,,,,Nonfried peanut,true,false,176,176
Raw pepper,,Groceries,,,,Raw pepper,true,false,177,177
Tamarind powder,,Groceries,10,per pack,,Tamarind powder,true,false,178,178
Tamarind powder,,Groceries,15,per pack,,Tamarind powder,true,false,179,179
Tamarind powder,,Groceries,140,per pack,,Tamarind powder,true,false,180,180
Coriander powder,,Groceries,10,per pack,,Coriander powder,true,false,181,181
Coriander powder,,Groceries,20,per pack,,Coriander powder,true,false,182,182
Coriander powder,,Groceries,140,per pack,,Coriander powder,true,false,183,183
Chicken masala,,Groceries,10,per pack,,Chicken masala,true,false,184,184
Chicken masala,,Groceries,20,per pack,,Chicken masala,true,false,185,185
